Country Name,year,population,life_expectancy,fertility_rate
Afghanistan,1960,8774440,31.58004878,7.671
Afghanistan,1961,8953544,32.09597561,7.671
Afghanistan,1962,9141783,32.61187805,7.671
Afghanistan,1963,9339507,33.12731707,7.671
Afghanistan,1964,9547131,33.6412439,7.671
Afghanistan,1965,9765015,34.15368293,7.671
Afghanistan,1966,9990125,34.66312195,7.671
Afghanistan,1967,10221902,35.17007317,7.671
Afghanistan,1968,10465770,35.67202439,7.671
Afghanistan,1969,10729191,36.16997561,7.671
Afghanistan,1970,11015621,36.65943902,7.671
Afghanistan,1971,11323446,37.13941463,7.671
Afghanistan,1972,11644377,37.60887805,7.671
Afghanistan,1973,11966352,38.06934146,7.671
Afghanistan,1974,12273589,38.52329268,7.671
Afghanistan,1975,12551790,38.97026829,7.671
Afghanistan,1976,12806810,39.41073171,7.67
Afghanistan,1977,13034460,39.84770732,7.67
Afghanistan,1978,13199597,40.29068293,7.67
Afghanistan,1979,13257128,40.74817073,7.669
Afghanistan,1980,13180431,41.23365854,7.669
Afghanistan,1981,12963788,41.76063415,7.67
Afghanistan,1982,12634494,42.33560976,7.671
Afghanistan,1983,12241928,42.96304878,7.673
Afghanistan,1984,11854205,43.6444878,7.676
Afghanistan,1985,11528977,44.37990244,7.679
Afghanistan,1986,11262439,45.16880488,7.681
Afghanistan,1987,11063107,45.99721951,7.682
Afghanistan,1988,11013345,46.85014634,7.682
Afghanistan,1989,11215323,47.71158537,7.682
Afghanistan,1990,11731193,48.56704878,7.687
Afghanistan,1991,12612043,49.40456098,7.7
Afghanistan,1992,13811876,50.21312195,7.725
Afghanistan,1993,15175325,50.9852439,7.758
Afghanistan,1994,16485018,51.70939024,7.796
Afghanistan,1995,17586073,52.37507317,7.832
Afghanistan,1996,18415307,52.97278049,7.859
Afghanistan,1997,19021226,53.5084878,7.869
Afghanistan,1998,19496836,53.99219512,7.854
Afghanistan,1999,19987071,54.43287805,7.809
Afghanistan,2000,20595360,54.84856098,7.733
Afghanistan,2001,21347782,55.25621951,7.623
Afghanistan,2002,22202806,55.67187805,7.484
Afghanistan,2003,23116142,56.10756098,7.321
Afghanistan,2004,24018682,56.56973171,7.136
Afghanistan,2005,24860855,57.05843902,6.93
Afghanistan,2006,25631282,57.57065854,6.702
Afghanistan,2007,26349243,58.09136585,6.456
Afghanistan,2008,27032197,58.60709756,6.196
Afghanistan,2009,27708187,59.11234146,5.928
Afghanistan,2010,28397812,59.60009756,5.659
Afghanistan,2011,29105480,60.06536585,5.395
